token	token_ids	count	POS
affinity	16730	1	['NOUN']
afford	8984	2	['VERB']
affordable	15184	1	['ADJ']
afi	28697	8	['PROPN']
afraid	4452	3	['ADJ']
africa	3088	27	['PROPN']
african	3060	13	['ADJ']
aft	16638	8	['ADJ']
after	2044	465	['ADP']
aftermath	10530	5	['NOUN']
afternoon	5027	22	['NOUN']
afterward	9707	3	['ADV']
afterwards	5728	11	['ADV']
ag	12943	3	['PROPN']
again	2153	78	['ADV']
against	2114	179	['ADP']
age	2287	41	['NOUN']
aged	4793	6	['ADJ']
agencies	6736	7	['NOUN']
agency	4034	21	['PROPN']
agenda	11376	1	['NOUN']
agent	4005	9	['NOUN']
agents	6074	7	['NOUN']
ages	5535	3	['PROPN']
aggravated	25817	1	['VERB']
aggregator	24089	1	['NOUN']
aggression	14974	1	['NOUN']
aggressive	9376	4	['ADJ']
aggressively	24663	5	['ADV']
agile	29003	1	['ADJ']
ago	3283	3	['ADV']
agree	5993	3	['VERB']
agreed	3530	31	['VERB']
agreeing	16191	3	['VERB']
agreement	3820	8	['NOUN']
agreements	10540	1	['NOUN']
agrees	10217	6	['VERB']
agricultural	4910	6	['ADJ', 'PROPN']
agriculture	5237	5	['NOUN']
aground	29406	2	['ADV']
agustin	26889	3	['PROPN']
ahead	3805	21	['ADV']
ahmed	10208	1	['PROPN']
ai	9932	1	['PROPN']
aid	4681	27	['NOUN']
aide	14895	3	['NOUN']
aided	11553	5	['VERB']
aids	8387	1	['VERB']
aim	6614	2	['NOUN']
aimed	6461	5	['VERB']
aims	8704	1	['NOUN']
ain	7110	2	['VERB']
air	2250	62	['NOUN']
airborne	10519	37	['ADJ']
airbus	20901	1	['PROPN']
aircraft	2948	68	['NOUN']
aired	4836	3	['VERB']
aires	9149	2	['PROPN']
airfield	9087	9	['NOUN']
airfields	25278	3	['NOUN']
airing	10499	1	['NOUN']
airlift	20019	2	['NOUN']
airlines	7608	2	['NOUN', 'PROPN']
airplay	15341	2	['NOUN']
airport	3199	19	['NOUN']
airspace	29357	1	['NOUN']
aka	9875	1	['ADV']
akin	17793	1	['ADJ']
akron	22735	19	['PROPN']
al	2632	6	['PROPN']
alabama	6041	1	['PROPN']
alan	5070	3	['PROPN']
alaska	7397	3	['PROPN']
albania	10407	2	['PROPN']
albert	4789	1	['PROPN']
alberta	7649	1	['PROPN']
alberto	12007	2	['PROPN']
album	2201	130	['NOUN']
albums	4042	20	['PROPN', 'NOUN']
alcohol	6544	1	['NOUN']
alcoholic	14813	1	['NOUN']
alcoholism	25519	1	['NOUN']
alec	9752	2	['PROPN']
alert	9499	2	['ADJ', 'NOUN']
alerted	22333	2	['VERB']
alex	4074	2	['PROPN']
alexander	3656	7	['PROPN']
alexandra	10481	2	['PROPN']
alexandria	10297	3	['PROPN']
alexis	13573	1	['PROPN']
alfonso	13591	1	['PROPN']
alfred	6152	6	['PROPN']
alfredo	19423	2	['PROPN']
algeria	11337	4	['PROPN']
algorithms	13792	1	['NOUN']
ali	4862	1	['PROPN']
alice	5650	4	['PROPN']
alien	7344	2	['ADJ']
align	25705	1	['PROPN']
aligned	13115	1	['VERB']
alignment	12139	1	['NOUN']
alison	12684	1	['PROPN']
alistair	23752	2	['PROPN']
alive	4142	18	['ADJ']
all	2035	290	['PRON', 'DET']
alleged	6884	5	['VERB']
allegedly	9382	2	['ADV']
allegiance	14588	4	['NOUN']
allen	5297	4	['PROPN']
alleviate	24251	3	['VERB']
alley	8975	2	['NOUN', 'PROPN']
alliance	4707	1	['NOUN']
allied	6035	17	['PROPN']
allies	6956	12	['PROPN', 'NOUN']
alligator	28833	1	['NOUN']
allison	10786	1	['PROPN']
allmusic	10477	8	['PROPN']
allocation	16169	2	['NOUN']
allow	3499	18	['VERB']
allowed	3039	46	['VERB']
allowing	4352	24	['VERB']
allows	4473	10	['VERB']
alloy	17564	1	['NOUN']
ally	9698	3	['NOUN']
alma	11346	1	['PROPN']
almost	2471	43	['ADV']
alone	2894	11	['ADV']
along	2247	131	['ADP', 'ADV']
alongside	4077	16	['ADP']
alonso	17649	1	['PROPN']
aloud	12575	1	['ADV']
alpha	6541	3	['NOUN', 'PROPN']
alphabet	12440	1	['NOUN']
already	2525	36	['ADV']
also	2036	495	['ADV']
alta	23647	2	['PROPN']
altar	9216	1	['NOUN']
alter	11477	2	['VERB']
altered	8776	6	['VERB']
alternate	6585	1	['ADJ']
alternative	4522	9	['ADJ', 'NOUN']
alternatively	14084	5	['ADV']
alternatives	15955	4	['NOUN']
although	2348	135	['SCONJ']
altitude	7998	1	['NOUN']
altogether	10462	5	['ADV']
alvin	17348	1	['PROPN']
always	2467	28	['ADV']
am	2572	8	['AUX']
amalgamated	17143	2	['VERB']
amassed	22151	1	['VERB']
amateur	5515	6	['ADJ']
amazing	6429	3	['ADJ']
amazon	9733	6	['PROPN']
ambassador	6059	39	['NOUN']
ambassadors	20986	5	['NOUN']
ambiguity	27637	5	['NOUN']
ambiguous	20080	3	['ADJ']
ambition	16290	3	['NOUN']
ambitious	12479	1	['ADJ']
ambrose	15675	7	['PROPN']
ambulance	10771	1	['NOUN']
ambush	15283	1	['NOUN']
ambushed	22168	1	['VERB']
amended	13266	1	['VERB']
america	2637	49	['PROPN']
american	2137	233	['PROPN', 'ADJ']
americans	4841	16	['PROPN']
americas	10925	6	['PROPN']
ames	19900	2	['PROPN']
amid	13463	1	['ADP']
amidst	17171	1	['ADP']
ammonia	25874	3	['NOUN']
ammunition	9290	15	['NOUN']
amnesty	16154	2	['NOUN']
among	2426	60	['ADP']
amongst	5921	3	['ADP']
amor	16095	7	['PROPN']
amos	13744	29	['PROPN']
amount	3815	10	['NOUN']
amounted	18779	5	['VERB']
amounts	8310	5	['NOUN']
amphibious	16182	13	['ADJ']
ample	20851	1	['ADJ']
amplified	26986	1	['VERB']
amy	6864	9	['PROPN']
an	2019	719	['DET']
ana	9617	7	['PROPN']
anaheim	20835	2	['PROPN']
analogue	21800	1	['NOUN']
analyses	16478	7	['NOUN', 'PROPN', 'VERB']
analysis	4106	12	['NOUN']
analysts	18288	1	['NOUN']
analytical	17826	1	['ADJ']
analyze	17908	1	['VERB']
analyzed	16578	4	['VERB']
analyzing	20253	2	['VERB']
anarchy	26395	2	['NOUN']
ancestor	13032	2	['NOUN']
ancestors	10748	6	['NOUN']
ancestral	14947	5	['ADJ']
ancestry	11377	2	['NOUN']
anchor	8133	2	['VERB', 'NOUN']
anchorage	21086	1	['NOUN']
anchored	14453	1	['VERB']
ancient	3418	26	['ADJ']
and	1998	5793	['CCONJ']
anders	15387	2	['PROPN']
anderson	5143	2	['PROPN']
andres	15614	6	['PROPN']
andrew	4080	12	['PROPN']
andrews	9261	1	['PROPN']
andy	5557	3	['PROPN']
ang	17076	1	['PROPN']
angela	10413	43	['PROPN']
angeles	3349	25	['PROPN']
angels	7048	3	['PROPN']
anger	4963	7	['NOUN']
angle	6466	49	['NOUN']
anglican	9437	2	['ADJ']
anglo	7819	3	['PROPN']
angrily	14136	2	['ADV']
angry	4854	6	['ADJ']
angular	16108	1	['ADJ']
animal	4111	11	['NOUN']
animals	4176	17	['NOUN']
animated	6579	3	['VERB']
animation	7284	1	['NOUN']
ankle	10792	2	['NOUN']
ann	5754	4	['PROPN']
annals	16945	2	['PROPN']
anne	4776	1	['PROPN']
annette	22521	1	['PROPN']
annexed	13291	1	['VERB']
annie	8194	1	['PROPN']
anniversary	5315	7	['NOUN', 'PROPN']
announce	14970	2	['VERB', 'NOUN']
announced	2623	44	['VERB']
announcement	8874	3	['NOUN']
announcements	25674	1	['NOUN']
announcer	14073	4	['NOUN']
announces	17472	1	['VERB']
announcing	13856	1	['VERB']
annoying	15703	1	['ADJ']
annual	3296	13	['ADJ']
annually	6604	8	['ADV']
annum	28907	1	['NOUN']
anomaly	28685	1	['PROPN']
another	2178	106	['DET']
answer	3437	3	['NOUN']
answered	4660	1	['VERB']
answers	6998	3	['NOUN']
antarctic	10227	3	['PROPN']
antarctica	12615	2	['PROPN']
antennae	28624	1	['NOUN']
anthologies	25675	5	['NOUN']
anthology	9637	9	['NOUN']
anthony	4938	6	['PROPN']
anthropological	28395	2	['PROPN', 'ADJ']
anthropology	12795	1	['PROPN']
anti	3424	25	['ADJ']
anticipated	11436	7	['VERB']
anticipating	26481	2	['VERB']
anticipation	11162	2	['NOUN']
antigua	26023	1	['PROPN']
antilles	27695	3	['PROPN']
antiquity	16433	1	['NOUN']
antoine	12445	2	['PROPN']
antonia	24272	4	['PROPN']
antonio	4980	4	['PROPN']
antony	16262	3	['PROPN']
antwerp	14003	3	['PROPN']
anwar	28372	1	['PROPN']
anxiety	10089	2	['NOUN']
any	2151	87	['DET']
anybody	10334	4	['PRON']
anyone	3087	8	['PRON']
anything	2505	13	['PRON']
anytime	15933	2	['ADV']
anywhere	5973	4	['ADV']
ap	9706	5	['PROPN']
apart	4237	7	['ADV']
apartment	4545	1	['PROPN']
apartments	9620	1	['NOUN']
apologies	25380	1	['NOUN']
apologized	17806	1	['VERB']
apostle	20121	1	['NOUN']
apostles	19178	1	['PROPN']
apparatus	14709	3	['NOUN']
apparent	6835	10	['ADJ']
apparently	4593	8	['ADV']
appeal	5574	5	['VERB', 'NOUN', 'PROPN']
appeals	9023	1	['PROPN']
appear	3711	11	['VERB']
appearance	3311	37	['NOUN']
appearances	3922	7	['NOUN']
appeared	2596	42	['VERB']
appearing	6037	6	['VERB']
appears	3544	21	['VERB']
appendix	22524	1	['PROPN']
appetite	18923	1	['NOUN']
apple	6207	3	['PROPN']
applicable	12711	4	['ADJ']
application	4646	2	['NOUN']
applied	4162	6	['VERB']
applies	12033	1	['VERB']
apply	6611	2	['VERB']
applying	11243	2	['VERB']
appointed	2805	31	['VERB']
appointment	6098	4	['NOUN']
appointments	14651	1	['NOUN']
appreciate	9120	1	['VERB']
appreciated	12315	5	['VERB']
appreciation	12284	2	['NOUN', 'PROPN']
apprentice	13357	4	['PROPN', 'NOUN']
approach	3921	28	['NOUN']
approached	5411	11	['VERB']
approaches	8107	5	['NOUN']
approaching	8455	9	['VERB']
appropriate	6413	6	['ADJ']
appropriated	29223	1	['VERB']
appropriately	23263	1	['ADV']
approval	6226	4	['NOUN']
approve	14300	1	['VERB']
approved	4844	8	['VERB']
approximate	15796	2	['ADJ']
approximately	3155	32	['ADV']
april	2258	79	['PROPN']
aquatic	13582	17	['ADJ']
aquino	24183	3	['PROPN']
arab	5424	3	['PROPN']
arabia	9264	3	['PROPN']
arabian	13771	1	['PROPN']
arbitrary	15275	1	['ADJ']
arbitration	18010	1	['NOUN']
arc	8115	6	['NOUN']
arcadia	25178	2	['PROPN']
arch	7905	3	['NOUN']
archaeological	7611	12	['ADJ']
archaeologists	19254	4	['NOUN']
archbishop	6507	13	['NOUN']
archdeacon	21742	5	['NOUN']
archdiocese	12658	1	['PROPN']
archduke	27463	6	['PROPN']
arched	9194	2	['VERB', 'ADJ']
arches	13540	3	['NOUN']
archipelago	13888	6	['NOUN']
architect	4944	12	['PROPN', 'NOUN']
architects	8160	17	['PROPN', 'NOUN']
architectural	6549	5	['ADJ']
architecture	4294	8	['NOUN']
archival	22796	2	['NOUN']
archived	9749	1	['VERB']
archives	8264	1	['PROPN']
are	2024	524	['AUX']
area	2181	141	['NOUN']
areas	2752	47	['NOUN']
arena	5196	5	['NOUN', 'PROPN']
arenas	26434	1	['NOUN']
argentina	5619	5	['PROPN']
argentine	8511	2	['ADJ', 'PROPN']
arguably	15835	2	['ADV']
argue	7475	3	['VERB']
argued	5275	3	['VERB']
argues	9251	15	['VERB']
arguing	9177	5	['VERB']
argument	6685	6	['NOUN']
arguments	9918	1	['NOUN']
ari	10488	1	['PROPN']
aria	9342	1	['PROPN']
arise	13368	5	['PROPN']
arising	17707	1	['VERB']
aristocratic	19774	1	['ADJ']
arizona	5334	1	['PROPN']
arm	2849	6	['NOUN', 'VERB']
armament	14410	16	['NOUN']
armchair	29372	1	['PROPN']
armed	4273	26	['ADJ']
armenia	10110	7	['PROPN']
armenian	7508	3	['ADJ']
armies	8749	9	['NOUN']
armistice	19125	5	['PROPN', 'NOUN']
armor	8177	52	['NOUN']
armored	10612	33	['ADJ', 'PROPN']
armour	12371	43	['NOUN']
armoured	11104	33	['ADJ']
arms	2608	6	['NOUN']
armstrong	9143	8	['PROPN']
army	2390	94	['NOUN']
arose	10375	4	['VERB']
around	2105	107	['ADP']
arrange	13621	2	['VERB']
arranged	5412	9	['VERB']
arrangement	6512	6	['NOUN']
arrangements	7565	1	['NOUN']
arrest	6545	3	['NOUN']
arrested	4727	11	['VERB']
arresting	28427	1	['VERB']
arrests	17615	3	['NOUN']
arrival	5508	12	['NOUN']
arrive	7180	7	['VERB']
arrived	3369	32	['VERB']
arrives	8480	6	['VERB']
arriving	7194	5	['VERB']
arrows	12563	2	['NOUN']
ars	29393	3	['PROPN']
arsenal	9433	3	['PROPN']
arson	24912	1	['NOUN']
art	2396	38	['PROPN']
artefacts	25762	1	['NOUN']
arthritis	27641	1	['NOUN']
arthur	4300	9	['PROPN']
article	3720	17	['NOUN']
articulated	20742	1	['VERB']
artifacts	10471	3	['NOUN']
artificial	7976	2	['ADJ']
artillery	4893	33	['NOUN']
artist	3063	19	['NOUN']
artistic	6018	3	['PROPN']
artists	3324	15	['NOUN']
arts	2840	17	['NOUN']
artwork	8266	1	['NOUN']
artworks	22000	1	['NOUN']
as	2004	1605	['ADP']
ascending	22316	1	['VERB']
ascension	18071	3	['PROPN']
ascribed	28025	1	['VERB']
asean	27974	4	['PROPN']
ash	6683	1	['NOUN']
ashamed	14984	2	['ADJ']
asher	17243	2	['PROPN']
ashes	11289	1	['NOUN']
ashore	16145	5	['ADV']
asia	4021	22	['PROPN']
asian	4004	5	['PROPN']
aside	4998	10	['ADV']
ask	3198	5	['VERB']
asked	2356	24	['VERB']
asking	4851	2	['VERB']
asks	5176	6	['VERB']
aspect	7814	5	['NOUN']
aspects	5919	12	['NOUN']
aspirations	22877	1	['NOUN']
assassinated	16370	2	['VERB']
assassination	10102	4	['NOUN']
assassins	18364	1	['NOUN']
assault	6101	18	['NOUN']
assaulted	17536	4	['VERB', 'ADJ']
assaults	22664	4	['NOUN']
assembled	9240	8	['VERB']
assembly	3320	14	['NOUN']
assert	20865	2	['VERB']
asserted	13647	1	['VERB']
assertion	23617	1	['NOUN']
asserts	19514	2	['VERB']
assess	14358	1	['VERB']
assessed	14155	3	['VERB']
assessing	20077	1	['VERB']
assessment	7667	3	['NOUN']
asset	11412	1	['NOUN']
assets	7045	3	['NOUN']
assign	23911	1	['VERB']
assigned	4137	28	['VERB']
assignment	8775	7	['NOUN']
assigns	24022	3	['VERB']
assist	6509	3	['VERB']
assistance	5375	6	['NOUN']
assistant	3353	19	['PROPN']
assisted	7197	12	['VERB']
assists	8456	2	['NOUN']
associate	5482	4	['NOUN']
associated	3378	33	['VERB']
associates	9228	1	['PROPN']
association	2523	29	['PROPN', 'NOUN']
associations	8924	2	['NOUN']
assume	7868	2	['VERB']
assumed	5071	4	['VERB']
assumes	15980	1	['VERB']
assured	8916	1	['VERB']
asthma	26180	1	['NOUN']
astonishing	26137	1	['ADJ']
astonishment	23819	2	['NOUN']
astronomer	15211	1	['NOUN']
astronomical	13674	9	['PROPN']
asylum	11386	7	['PROPN']
at	2012	1238	['ADP']
ate	8823	1	['VERB']
atheist	23503	1	['ADJ']
athenian	26956	1	['PROPN']
athens	7571	2	['PROPN']
athlete	8258	7	['NOUN', 'PROPN']
athletes	7576	9	['NOUN']
athletic	5188	13	['PROPN']
athletics	6482	2	['NOUN']
atkinson	18646	1	['PROPN']
atlantic	4448	8	['PROPN', 'ADJ']
atlas	11568	1	['PROPN']
atmosphere	7224	3	['NOUN']
atmospheric	12483	13	['PROPN']
atoll	22292	1	['NOUN']
atom	13787	2	['NOUN']
atoms	13353	1	['NOUN']
atop	10234	2	['ADP', 'ADV']
atrocities	23482	1	['NOUN']
attach	22476	2	['VERB']
attached	4987	15	['VERB']
attachment	14449	1	['NOUN']
attack	2886	84	['NOUN', 'VERB']
attacked	4457	38	['VERB']
attackers	17857	2	['NOUN']
attacking	7866	17	['VERB']
attacks	4491	33	['NOUN', 'VERB']
attain	18759	2	['VERB']
attained	12754	11	['VERB']
attaining	26615	2	['VERB']
attempt	3535	26	['NOUN']
attempted	4692	29	['VERB']
attempting	7161	10	['VERB']
attempts	4740	18	['NOUN', 'VERB']
attend	5463	6	['VERB']
attendance	5270	7	['NOUN']
attended	3230	12	['VERB']
attending	7052	2	['VERB']
attends	23933	1	['VERB']
attention	3086	15	['NOUN']
attested	18470	2	['VERB', 'ADJ']
attitude	7729	4	['NOUN']
attitudes	13818	1	['NOUN']
attorney	4905	8	['NOUN', 'PROPN']
attorneys	16214	1	['NOUN']
attract	9958	1	['VERB']
attracted	6296	8	['VERB']
attraction	8432	3	['NOUN']
attractions	13051	1	['NOUN']
attractive	8702	5	['ADJ']
attracts	17771	2	['VERB']
attributed	7108	9	['VERB']
attributes	12332	1	['VERB']
atv	29108	1	['PROPN']
au	8740	1	['PROPN']
auction	10470	2	['NOUN']
audible	19525	1	['ADJ']
audience	4378	19	['NOUN']
audiences	9501	8	['NOUN']
audio	5746	1	['NOUN']
audit	15727	1	['PROPN']
auditioned	23008	2	['VERB']
augmented	19335	2	['VERB']
augsburg	24362	1	['PROPN']
august	2257	126	['PROPN']
augusta	13635	2	['PROPN']
augustine	14060	3	['NOUN']
augustus	11668	12	['PROPN']
aunt	5916	2	['NOUN']
auspices	20153	2	['NOUN']
austin	5899	11	['PROPN']
australia	2660	45	['PROPN']
australian	2827	30	['PROPN']
austria	5118	25	['PROPN']
austrian	6161	38	['PROPN', 'ADJ']
austrians	28439	10	['PROPN']
austro	16951	18	['PROPN']
authentic	14469	1	['ADJ']
author	3166	9	['NOUN']
authored	8786	2	['VERB']
authorised	19256	1	['VERB']
authoritarian	27246	1	['ADJ']
authorities	4614	5	['NOUN']
authority	3691	17	['NOUN']
authorization	20104	3	['NOUN']
authorized	9362	3	['VERB']
authors	6048	4	['NOUN']
auto	8285	1	['NOUN']
autobiographical	18534	1	['ADJ']
autobiography	10828	1	['NOUN']
automated	12978	1	['VERB']
automatic	6882	6	['ADJ']
automobiles	19207	1	['NOUN']
automotive	12945	1	['ADJ']
autonomous	8392	1	['ADJ']
autonomy	12645	1	['NOUN']
autumn	7114	9	['NOUN']
auxiliary	9830	5	['ADJ']
avail	24608	1	['NOUN']
availability	11343	3	['NOUN']
available	2800	34	['ADJ']
avant	14815	2	['ADJ']
avenge	24896	1	['VERB']
avenue	3927	30	['PROPN']
avenues	20859	3	['NOUN']
average	2779	28	['ADJ']
averaged	11398	2	['VERB']
averaging	14985	1	['VERB']
avery	12140	2	['PROPN']
aviation	5734	2	['NOUN']
aviv	12724	1	['PROPN']
